store_id,week,sales,price,promotion,holiday,day_of_week,store_type,region
store_A,0,1212.6265,10.130472,0.0,1,0,premium,urban
store_A,1,954.4545,10.529998,0.0,0,1,premium,urban
store_A,2,1066.0654,10.269437,0.0,0,2,premium,urban
store_A,3,1095.3456,10.107159,0.0,0,3,premium,urban
store_A,4,966.55225,10.118414,0.0,0,4,premium,urban
store_A,5,1024.5396,9.607901,0.0,0,5,premium,urban
store_A,6,1121.4716,9.061636,0.0,0,6,premium,urban
store_A,7,1096.5702,9.873435,0.0,0,0,premium,urban
store_A,8,1132.875,9.42917,0.0,0,1,premium,urban
store_A,9,1244.5522,9.817058,1.0,0,2,premium,urban
store_A,10,1173.3354,10.706806,0.0,0,3,premium,urban
store_A,11,1401.6262,9.467879,0.0,1,4,premium,urban
store_A,12,1180.2404,9.116606,0.0,0,5,premium,urban
store_A,13,1230.1067,9.562768,0.0,0,6,premium,urban
store_A,14,1350.9026,9.587188,1.0,0,0,premium,urban
store_A,15,1122.653,10.323833,0.0,0,1,premium,urban
store_A,16,1189.6578,10.114064,0.0,0,2,premium,urban
store_A,17,1114.2455,10.567797,0.0,0,3,premium,urban
store_A,18,1209.6483,10.328627,0.0,0,4,premium,urban
store_A,19,1171.0994,9.812774,0.0,0,5,premium,urban
store_A,20,1294.5083,10.62804,1.0,0,6,premium,urban
store_A,21,1141.081,9.333946,0.0,0,0,premium,urban
store_A,22,1236.6909,9.045424,0.0,0,1,premium,urban
store_A,23,1359.1321,9.180096,0.0,1,2,premium,urban
store_A,24,1113.6208,10.444718,0.0,0,3,premium,urban
store_A,25,1120.9719,9.923755,0.0,0,4,premium,urban
store_A,26,1170.1646,9.322543,0.0,0,5,premium,urban
store_A,27,1141.1768,10.0020895,0.0,0,6,premium,urban
store_A,28,1300.6125,9.304625,1.0,0,0,premium,urban
store_A,29,1273.2278,10.392641,1.0,0,1,premium,urban
store_A,30,1212.7638,9.892313,0.0,0,2,premium,urban
store_A,31,1082.632,9.762042,0.0,0,3,premium,urban
store_A,32,1076.0151,9.6030245,0.0,0,4,premium,urban
store_A,33,1044.249,10.260565,0.0,0,5,premium,urban
store_A,34,1124.0281,9.723625,0.0,0,6,premium,urban
store_A,35,1359.397,9.1753,0.0,1,0,premium,urban
store_A,36,1096.0808,9.2360115,0.0,0,1,premium,urban
store_A,37,1027.4221,10.923796,0.0,0,2,premium,urban
store_A,38,1033.1619,10.817162,0.0,0,3,premium,urban
store_A,39,1269.5414,10.399414,1.0,0,4,premium,urban
store_A,40,1147.2571,9.53174,0.0,0,5,premium,urban
store_A,41,1116.2965,10.938353,0.0,0,6,premium,urban
store_A,42,1072.0729,10.557502,0.0,0,0,premium,urban
store_A,43,1129.3868,10.433781,0.0,0,1,premium,urban
store_A,44,1295.5614,9.898723,1.0,0,2,premium,urban
store_A,45,1320.1937,9.544483,1.0,0,3,premium,urban
store_A,46,1223.4036,9.192781,0.0,0,4,premium,urban
store_A,47,1523.2692,10.805204,1.0,1,5,premium,urban
store_A,48,1229.2423,9.911552,0.0,0,6,premium,urban
store_A,49,1224.824,9.404727,0.0,0,0,premium,urban
store_A,50,1248.2861,9.611914,0.0,0,1,premium,urban
store_A,51,1621.3419,10.158439,1.0,1,2,premium,urban
store_A,52,1200.0713,9.353545,0.0,0,3,premium,urban
store_A,53,1246.8055,10.713228,0.0,0,4,premium,urban
store_A,54,1260.0721,10.517039,0.0,0,5,premium,urban
store_A,55,1419.738,10.438926,1.0,0,6,premium,urban
store_A,56,1465.4315,9.864186,1.0,0,0,premium,urban
store_A,57,1411.4612,10.254618,0.0,0,1,premium,urban
store_A,58,1459.6567,10.168196,1.0,0,2,premium,urban
store_A,59,1562.2711,10.299693,1.0,0,3,premium,urban
store_B,0,949.5817,10.130472,0.0,1,0,premium,urban
store_B,1,826.9795,10.529998,0.0,0,1,premium,urban
store_B,2,795.8978,10.269437,0.0,0,2,premium,urban
store_B,3,781.1968,10.107159,0.0,0,3,premium,urban
store_B,4,869.75146,10.118414,0.0,0,4,premium,urban
store_B,5,840.91705,9.607901,0.0,0,5,premium,urban
store_B,6,900.90045,9.061636,0.0,0,6,premium,urban
store_B,7,862.10693,9.873435,0.0,0,0,premium,urban
store_B,8,811.1614,9.42917,0.0,0,1,premium,urban
store_B,9,814.42114,9.817058,1.0,0,2,premium,urban
store_B,10,953.70746,10.706806,0.0,0,3,premium,urban
store_B,11,1161.8647,9.467879,0.0,1,4,premium,urban
